name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
Meadow (a),15465,Valid,Stony,Ordinary,H5,1495,Found,1975-01-01,33.33139,-102.26889,"(33.331390, -102.268890)"
Metameur 001,44719,Valid,Stony,Ordinary,LL6,748,Found,2005-01-01,33.35,10.4,"(33.350000, 10.400000)"
Metameur 002,44720,Valid,Stony,Ordinary,H4,17,Found,2005-01-01,33.35,10.43333,"(33.350000, 10.433330)"
Forest Vale,10120,Valid,Stony,Ordinary,H4,26000,Fell,1942-01-01,-33.35,146.85833,"(-33.350000, 146.858330)"
Thal,23908,Valid,Stony,Ordinary,H6,342,Fell,1950-01-01,33.4,70.6,"(33.400000, 70.600000)"
Metameur 003,44721,Valid,Stony,Ordinary,L4,126,Found,2005-01-01,33.40333,10.45833,"(33.403330, 10.458330)"
Duwun,7754,Valid,Stony,Ordinary,L6,2117,Fell,1943-01-01,33.43333,127.26667,"(33.433330, 127.266670)"
Apache Junction,54566,Valid,Iron,Achondrites,"Iron, IIIAB",25000,Found,,33.45,-111.51667,"(33.450000, -111.516670)"
San Juan Capistrano,23128,Valid,Stony,Ordinary,H6,56,Fell,1973-01-01,33.48472,-117.6625,"(33.484720, -117.662500)"
Forestburg (b),10122,Valid,Stony,Ordinary,L5,26600,Found,1957-01-01,33.49556,-97.58861,"(33.495560, -97.588610)"
Howe,11914,Valid,Stony,Ordinary,H5,8630,Found,1938-01-01,33.5,-96.6,"(33.500000, -96.600000)"
Forestburg (a),10121,Valid,Stony,Ordinary,L4,26100,Found,1957-01-01,33.50667,-97.65139,"(33.506670, -97.651390)"
Deport (a),6663,Valid,Stony,Ordinary,H4,604,Found,1944-01-01,33.51667,-95.3,"(33.516670, -95.300000)"
Deport,6662,Valid,Iron,Primitive Achondrites,"Iron, IAB-sLL",15000,Found,1926-01-01,33.51667,-95.3,"(33.516670, -95.300000)"
Mangalo,15404,Valid,Stony,Ordinary,L6,1050,Found,1975-01-01,-33.56667,136.65,"(-33.566670, 136.650000)"
Benjamin,5020,Valid,Stony,Ordinary,H4/5,51800,Found,1969-01-01,33.58333,-99.8,"(33.583330, -99.800000)"
Bledsoe,5074,Valid,Stony,Ordinary,H4,30500,Found,1970-01-01,33.59167,-103.02667,"(33.591670, -103.026670)"
Lubbock,14722,Valid,Stony,Ordinary,L5,1457.8,Found,1938-01-01,33.6,-101.73333,"(33.600000, -101.733330)"
Kielpa,12302,Valid,Stony,Ordinary,H5,13600,Found,1948-01-01,-33.6,136.1,"(-33.600000, 136.100000)"
Bells,5005,Valid,Stony,Carbonaceous,C2-ung,375,Fell,1961-01-01,33.6,-96.46667,"(33.600000, -96.466670)"
Fountain Hills,30565,Valid,Stony,Carbonaceous,CBa,60,Found,2002-01-01,33.61,-111.72,"(33.610000, -111.720000)"
Donnybrook,7709,Valid,Stony-Iron,Achondrites,Mesosiderite?,414,Found,1918-01-01,-33.61667,115.91667,"(-33.616670, 115.916670)"
Kouga Mountains,12352,Valid,Iron,Achondrites,"Iron, IIIAB",1173000,Found,1903-01-01,-33.61667,24,"(-33.616670, 24.000000)"
Acme,371,Valid,Stony,Ordinary,H5,75000,Found,1947-01-01,33.63333,-104.26667,"(33.633330, -104.266670)"
Sheyang,23531,Valid,Stony,Ordinary,L6,605,Fell,1976-01-01,33.65,120.06667,"(33.650000, 120.066670)"
Boaz (stone),5091,Valid,Stony,Ordinary,H5,1800,Found,1968-01-01,33.65167,-103.70833,"(33.651670, -103.708330)"
Diablo Pass,35516,Valid,Stony,Ordinary,L6,246.6,Found,2004-01-01,33.66348,-114.29207,"(33.663480, -114.292070)"
Crosbyton,5475,Valid,Stony,Ordinary,H,,Found,1963-01-01,33.66667,-101.26667,"(33.666670, -101.266670)"
El Mirage,7809,Valid,Iron,Achondrites,"Iron, IIAB",598,Found,1972-01-01,33.68333,-112.26667,"(33.683330, -112.266670)"
Gibson,10913,Valid,Stony,Primitive Achondrites,Lodranite,67.1,Found,1991-01-01,-33.68333,121.8,"(-33.683330, 121.800000)"
Hope,11905,Valid,Iron,Primitive Achondrites,"Iron, IAB-MG",6800,Found,1955-01-01,33.68333,-93.6,"(33.683330, -93.600000)"
Little Harquahala Mountains,53484,Valid,Stony,Ordinary,H-melt rock,262.2,Found,2006-01-01,33.69177,-113.63612,"(33.691770, -113.636120)"
Kenna (b),12278,Valid,Stony,Ordinary,L5,453,Found,1972-01-01,33.70833,-103.76667,"(33.708330, -103.766670)"
Big Horn Mountains,50765,Valid,Stony,Ordinary,H4,91.9,Found,2006-01-01,33.71333,-113.275,"(33.713330, -113.275000)"
Elton,10029,Valid,Iron,Achondrites,"Iron, ungrouped",1900,Found,1936-01-01,33.71667,-100.83333,"(33.716670, -100.833330)"
Griffith,11204,Valid,Iron,Achondrites,"Iron, ungrouped",6000,Found,1985-01-01,33.71667,-102.81667,"(33.716670, -102.816670)"
Shupiyan,23583,Valid,Stony,Ordinary,H6,5000,Fell,1912-01-01,33.71667,74.83333,"(33.716670, 74.833330)"
McAddo,15457,Valid,Stony,Ordinary,L6,1100,Found,1935-01-01,33.75,-100.93333,"(33.750000, -100.933330)"
Hassayampa,11851,Valid,Stony,Ordinary,H4,16000,Found,1963-01-01,33.75,-112.66667,"(33.750000, -112.666670)"
Diep River,7642,Valid,Stony,Ordinary,L6,1000,Fell,1906-01-01,-33.75,18.56667,"(-33.750000, 18.566670)"
Naragh,16909,Valid,Stony,Ordinary,H6,2700,Fell,1974-01-01,33.75,51.5,"(33.750000, 51.500000)"
Holliday,11897,Valid,Iron,Achondrites,Iron,12,Found,1950-01-01,33.75,-98.83333,"(33.750000, -98.833330)"
Anton,2311,Valid,Stony,Ordinary,H4,41800,Found,1965-01-01,33.7825,-102.18111,"(33.782500, -102.181110)"
Elida (a),10014,Valid,Stony,Ordinary,L6,936.8,Found,1968-01-01,33.78333,-103.57667,"(33.783330, -103.576670)"
Elida (c),10016,Valid,Stony,Ordinary,H5,385.5,Found,1968-01-01,33.79,-103.56333,"(33.790000, -103.563330)"
