name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
Loongana 001,14699,Valid,Stony,Carbonaceous,C4-ung,179,Found,1990-01-01,-30.6,127.16667,"(-30.600000, 127.166670)"
Denman 002,6652,Valid,Stony,Carbonaceous,CV3,30,Found,1991-01-01,-30.6,130.06667,"(-30.600000, 130.066670)"
Leander,12753,Valid,Stony,Ordinary,L4,760,Found,1940-01-01,30.6,-97.9,"(30.600000, -97.900000)"
Denman 004,6654,Valid,Stony,Ordinary,L6,113,Found,1991-01-01,-30.60217,129.96667,"(-30.602170, 129.966670)"
Hughes 005,11929,Valid,Stony,Achondrites,Howardite,284,Found,1991-01-01,-30.60267,129.57528,"(-30.602670, 129.575280)"
Frenchman Bay,10182,Valid,Stony,Ordinary,H3.5,8800,Found,1964-01-01,-30.60833,115.16667,"(-30.608330, 115.166670)"
Denman 003,6653,Valid,Stony,Ordinary,H5,53,Found,1991-01-01,-30.60867,130.08017,"(-30.608670, 130.080170)"
Hughes 028,11952,Valid,Stony,Ordinary,H6,62,Found,1993-01-01,-30.60883,129.62567,"(-30.608830, 129.625670)"
Cook 007,5427,Valid,Stony,Ordinary,H4,100000,Found,1989-01-01,-30.61667,130.41667,"(-30.616670, 130.416670)"
Jonah,12200,Valid,Stony,Ordinary,H5,1304,Found,1963-01-01,30.625,-97.53333,"(30.625000, -97.533330)"
Forrest 006,10129,Valid,Stony,Ordinary,L6,47.3,Found,1977-01-01,-30.63333,128.125,"(-30.633330, 128.125000)"
El Simbolar,7818,Valid,Iron,Achondrites,Iron,40000,Found,1938-01-01,-30.63333,-64.88333,"(-30.633330, -64.883330)"
Gheriat 001,10909,Valid,Stony,Ordinary,H5,20.8,Found,1990-01-01,30.65833,12.30667,"(30.658330, 12.306670)"
Hughes 013,11937,Valid,Stony,Ordinary,H5,4000,Found,1991-01-01,-30.66167,129.11667,"(-30.661670, 129.116670)"
Deakin 008,6632,Valid,Stony,Ordinary,H5,61.4,Found,1989-01-01,-30.66667,129.01667,"(-30.666670, 129.016670)"
Alnif,2282,Valid,Stony,Ordinary,H5,8000,Found,1992-01-01,30.66667,-5.16667,"(30.666670, -5.166670)"
Hughes 021,11945,Valid,Stony,Ordinary,L3.6,159.9,Found,1991-01-01,-30.668,129.462,"(-30.668000, 129.462000)"
Hughes 030,11954,Valid,Stony,No Class,R3-6,100,Found,1991-01-01,-30.668,129.462,"(-30.668000, 129.462000)"
Ahumada,419,Valid,Stony-Iron,Achondrites,"Pallasite, PMG",52600,Found,1909-01-01,30.7,-105.5,"(30.700000, -105.500000)"
Plantersville,18846,Valid,Stony,Ordinary,H6,2085,Fell,1930-01-01,30.7,-96.11667,"(30.700000, -96.116670)"
Hughes 025,11949,Valid,Stony,Ordinary,L5,172,Found,1991-01-01,-30.70117,129.46717,"(-30.701170, 129.467170)"
Cook 004,5424,Valid,Stony,Ordinary,H4,149,Found,1991-01-01,-30.70167,130.45611,"(-30.701670, 130.456110)"
Al Alamayn,35484,Valid,Stony,Ordinary,H5,13.31,Found,2005-01-01,30.70952,28.9698,"(30.709520, 28.969800)"
Lake Frome 001,12438,Valid,Stony,Ordinary,H5,32.5,Found,1992-01-01,-30.71061,140.15142,"(-30.710610, 140.151420)"
Lake Frome 002,12439,Valid,Stony,Ordinary,H5,201,Found,1992-01-01,-30.71061,140.15142,"(-30.710610, 140.151420)"
Lake Frome 003,12440,Valid,Stony,Ordinary,H6,5,Found,1992-01-01,-30.71061,140.15142,"(-30.710610, 140.151420)"
Lake Frome 004,12441,Valid,Stony,Ordinary,H6,107,Found,1992-01-01,-30.71061,140.15142,"(-30.710610, 140.151420)"
Lake Frome 005,12442,Valid,Stony,Ordinary,L5,54,Found,1992-01-01,-30.71061,140.15142,"(-30.710610, 140.151420)"
Forrest 032,10155,Valid,Stony,Ordinary,L6/7,1.38,Found,1992-01-01,-30.71667,127.93333,"(-30.716670, 127.933330)"
Forrest 030,10153,Valid,Stony,Ordinary,L6/7,77.68,Found,1992-01-01,-30.731,127.93917,"(-30.731000, 127.939170)"
Kulak,12369,Valid,Stony,Ordinary,L5,453.6,Fell,1961-01-01,30.73111,66.80222,"(30.731110, 66.802220)"
Forrest 029,10152,Valid,Stony,Ordinary,H3-5,6,Found,1992-01-01,-30.7315,127.93917,"(-30.731500, 127.939170)"
